,cityname,price
0,2018年北京房价,57493元/O
1,2018年上海房价,50327元/O
2,2018年深圳房价,48414元/O
3,2018年厦门房价,46655元/O
4,2018年广州房价,27617元/O
5,2018年三亚房价,27091元/O
6,2018年福州房价,26661元/O
7,2018年南京房价,25775元/O
8,2018年天津房价,21980元/O
9,2018年杭州房价,21828元/O
10,2018年珠海房价,19407元/O
11,2018年义乌房价,18429元/O
12,2018年青岛房价,18369元/O
13,2018年温州房价,17910元/O
14,2018年宁波房价,17072元/O
15,2018年石家庄房价,16729元/O
16,2018年武汉房价,16254元/O
17,2018年济南房价,15886元/O
18,2018年廊坊房价,15290元/O
19,2018年苏州房价,15286元/O
20,2018年金华房价,14696元/O
21,2018年合肥房价,14282元/O
22,2018年舟山房价,14200元/O
23,2018年东莞房价,13922元/O
24,2018年莆田房价,13784元/O
25,2018年漳州房价,13512元/O
26,2018年郑州房价,12803元/O
27,2018年保定房价,12622元/O
28,2018年成都房价,12296元/O
29,2018年台州房价,12228元/O
30,2018年绍兴房价,12109元/O
31,2018年章丘房价,12077元/O
32,2018年海口房价,12050元/O
33,2018年常州房价,12036元/O
34,2018年昆山房价,11576元/O
35,2018年中山房价,11399元/O
36,2018年衢州房价,11394元/O
37,2018年南昌房价,11394元/O
38,2018年扬州房价,11023元/O
39,2018年湖州房价,10973元/O
40,2018年顺德房价,10909元/O
41,2018年南通房价,10897元/O
42,2018年泉州房价,10703元/O
43,2018年大连房价,10558元/O
44,2018年龙岩房价,10451元/O
45,2018年嘉兴房价,10406元/O
46,2018年惠州房价,10274元/O
47,2018年佛山房价,10226元/O
48,2018年张家口房价,10156元/O
49,2018年兰州房价,10000元/O
50,2018年石嘴山房价,2966元/O
51,2018年咸宁房价,3347元/O
52,2018年鸡西房价,3407元/O
53,2018年白山房价,3441元/O
54,2018年朔州房价,3531元/O
55,2018年钦州房价,3595元/O
56,2018年绥化房价,3609元/O
57,2018年阿克苏房价,3659元/O
58,2018年哈密房价,3698元/O
59,2018年盘锦房价,3814元/O
60,2018年阜新房价,3851元/O
61,2018年呼伦贝尔房价,3853元/O
62,2018年喀什房价,3888元/O
63,2018年辽源房价,4005元/O
64,2018年铁岭房价,4007元/O
65,2018年曲靖房价,4037元/O
66,2018年攀枝花房价,4043元/O
67,2018年红河房价,4063元/O
68,2018年佳木斯房价,4097元/O
69,2018年运城房价,4157元/O
70,2018年宝鸡房价,4167元/O
71,2018年大同房价,4190元/O
72,2018年梧州房价,4193元/O
73,2018年汉中房价,4194元/O
74,2018年萍乡房价,4204元/O
75,2018年湘西房价,4251元/O
76,2018年荆门房价,4287元/O
77,2018年安康房价,4304元/O
78,2018年巴中房价,4349元/O
79,2018年周口房价,4363元/O
80,2018年鞍山房价,4367元/O
81,2018年兴安盟房价,4392元/O
82,2018年漯河房价,4399元/O
83,2018年眉山房价,4406元/O
84,2018年松原房价,4428元/O
85,2018年乌海房价,4441元/O
86,2018年中卫房价,4444元/O
87,2018年通化房价,4474元/O
88,2018年防城港房价,4483元/O
89,2018年辽阳房价,4484元/O
90,2018年楚雄房价,4537元/O
91,2018年营口房价,4563元/O
92,2018年鄂州房价,4572元/O
93,2018年邵阳房价,4580元/O
94,2018年娄底房价,4696元/O
95,2018年普洱房价,4724元/O
96,2018年四平房价,4726元/O
97,2018年克拉玛依房价,4740元/O
98,2018年昭通房价,4780元/O
99,2018年延边房价,4783元/O
